Event Number,Occurred/Discovered Date and Time,Occurred Date,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend,Latitude,Longitude,Nearest Populated Centre,Province,Population Density,Incident Types,Company,Significant,Product Category,Product Type,Volume Released,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Pipeline or facility equipment involved,Rupture,Pipe body release,Residual effects on the environment,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Kilometre post,Emergency Level,Equipment or component involved,Nominal pipe size,Material,Licensed maximum operating pressure (kPa),Year of installation,Year when put into service,Repair type,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,STATION_NAME,DISTANCE_WEATHER_STATION_KM,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
INC2010-034,2010-03-16 11:30,2010-03-16,16.0,3.0,2010.0,Tuesday,3.0,12.0,0.0,43.406148,-79.735605,Oakville,Ontario,46 or more dwelling units,Release of Substance,Trans-Northern Pipelines Inc.,Yes,Liquid,Gasoline,90.0,"Damage or deterioration mechanism, Cracking, Mechanical Damage Delayed Cracking",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mile Post 369.9,Level II,"Pipeline, Pipe, Bend, Body",NPS 10,Carbon Steel,,,,Replacement,No,5/1/2007,Inline Inspection (ILI),Yes,Yes,,,No,GEORGETOWN WWTP,17.305363190043796,6152695,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2010-045,2010-04-01 7:00,2010-04-01,1.0,4.0,2010.0,Thursday,5.0,14.0,0.0,43.18849,-79.8485,Ancaster,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,100.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 209 (Ancaster Compressor Station),,,,Level I,"Pipeline, Valve, Ball, Seal/Packing",,,,,,,No,,,No,No,,,No,HAMILTON RBG CS,24.897154570499186,6153301,8,,3.1,,12.9,,0,,,M,,M,,,0,,0,,0,,10,,52,,83,
INC2010-042,2010-04-10 8:00,2010-04-10,10.0,4.0,2010.0,Saturday,7.0,15.0,1.0,50.48051,-105.86728,Caronport,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Station/Facility, Compression, Fitting",NPS 3/8,,0.0,,,Replacement,No,,,No,No,,Replacement,No,BUFFALO POUND LAKE,48.299400247214805,4010984,2.8,,-2,,7.5,,0,,0,,0,,0,,,,,,0,,15.2,,,,,
INC2010-044,2010-04-20 4:50,2010-04-20,20.0,4.0,2010.0,Tuesday,3.0,17.0,0.0,55.56882,-121.94466,Chetwynd,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Mixed HVP Hydrocarbons,,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ",Standards and Procedures,Operation,,Yes,No,No,No,WEI - Pine River Gas Plant,,,,Level I,"Processing Plant, Flare",,Stainless Steel,0.0,,,Replacement,No,,,No,No,,Replacement,No,CHETWYND A,40.12716091243385,1181508,12.5,,0.6,,24.3,,0,,0,,0,,0,T,,,,,0,,5.5,,,,,
INC2010-052,2010-05-03 12:00,2010-05-03,3.0,5.0,2010.0,Monday,2.0,19.0,0.0,50.04165,-99.66005,Brandon,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,No,Gas,Propane,,"Damage or deterioration mechanism, Construction, Other Defective Weld",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,,,,,,,,No,,,No,No,,,No,RIVERS PETTAPIECE,31.91494815990422,501BMMA,,,,,,,0.1,,0.1,,0,,0.1,,,,,,,,,,,,,
INC2010-047,2010-05-04 1:40,2010-05-04,4.0,5.0,2010.0,Tuesday,3.0,19.0,0.0,48.64904,-80.69866,Not specified,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Stress Corrosion Cracking",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Excessive wear and tear, Inadequate planning of use;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Engineering and Planning, Maintenance",Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mainline Valve + Offset (km) 103-2 + 0.447 km,Level I,"Pipeline, Pipe, Body",,,,,,Replacement,No,,,No,No,,Replacement,No,TIMMINS VICTOR POWER A,51.747510052099564,6078285,9,,2.4,,15.6,,,,,,,,0,,29,,56,,0,,9,,,M,,M
INC2010-051,2010-05-22 2:00,2010-05-22,22.0,5.0,2010.0,Saturday,7.0,21.0,1.0,57.19361,-118.20534,Manning,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,1.0,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Meikle River Compressor Station,,,,Level I,"Station/Facility, Compression, Valve",,,,,,,No,,,No,No,,,No,CHINCHAGA LO,13.769283526717475,3071550,,,,,,,2.5,,1,,1.5,,,M,,,,,,,,,,,,
INC2010-053,2010-05-24 6:00,2010-05-24,24.0,5.0,2010.0,Monday,2.0,22.0,0.0,50.69805,-111.53063,Brooks,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Excessive wear and tear, Improper loading or rate of use","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Processing Plant, Cooling",,,,,,,No,,,No,No,,,No,BROOKS,40.76803375778211,3030QLP,9.9,,1.6,,18.1,,1.4,,,M,,M,,,13,,37,,0,,8.1,,41,,96,
INC2010-054,2010-05-27 2:00,2010-05-27,27.0,5.0,2010.0,Thursday,5.0,22.0,0.0,50.57578,-108.36036,Pennant,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,Line 100-6,1219.2,943.2932103,,Level I,"Pipeline, Fitting, Nipple, Thread",,,,,,,No,,,No,No,,,No,LEADER AIRPORT,66.71532285472436,402DAF0,9,,4.8,,13.1,,5.2,,,M,,M,,,6,,63,,0,,9,,51,,89,
INC2010-055,2010-06-02 8:00,2010-06-02,2.0,6.0,2010.0,Wednesday,4.0,23.0,0.0,54.093481,-116.62138,Fox Creek,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,0.1,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Kaybob South #3 Meter Station,,,,Level I,"Station/Facility, Metering, Delivering, Valve",,,,,,,No,,,No,No,,,No,PASS CREEK LO,9.476884463970539,3065000,,M,6.5,,19.5,,4,,4,,0,,,M,,,,,,M,,M,,,,
INC2010-057,2010-06-10 10:00,2010-06-10,10.0,6.0,2010.0,Thursday,5.0,24.0,0.0,50.65773,-109.53719,Not specified,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,No,Gas,Mixed HVP Hydrocarbons,,"Damage or deterioration mechanism, Construction, Other Defective Weld",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Kilometer Post 35,Level I,,,,,,,,No,,,No,No,,,No,LEADER AIRPORT,21.036551790196963,402DAF0,13.6,E,9.6,E,17.6,E,2,E,,M,,M,,,,M,,M,0,E,4.4,E,55,,95,
INC2010-058,2010-06-16 9:00,2010-06-16,16.0,6.0,2010.0,Wednesday,4.0,25.0,0.0,54.83027,-118.64709,Grande Prairie,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate monitoring of initial operation",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Gold Creek Compressor Station,,,,Level I,,,,,,,,No,,,No,No,,,No,GRANDE PRAIRIE A,31.448136991787266,3072920,11.5,,2.2,,20.8,,0,,0,,0,,,,0,,0,,0,,6.5,,34,,92,
INC2010-059,2010-06-18 10:00,2010-06-18,18.0,6.0,2010.0,Friday,6.0,25.0,0.0,45.30724,-66.04254,Saint John,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Emera Brunswick Pipeline Company Ltd.,No,Gas,Natural Gas - Sweet,,"Substandard Acts, Failure to secure",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Emera - Red Head Metre Station,,,,Level I,"Station/Facility, Pumping, Pump",,,,,,,No,,,No,No,,,No,GAGETOWN 2,18.466923220034314,8101800,21,,12,,30,,0,,0,,0,,0,,,,,,3,,0,,,,,
INC2010-061,2010-06-22 12:00,2010-06-22,22.0,6.0,2010.0,Tuesday,3.0,26.0,0.0,52.13984,-109.80493,Cactus Lake,Saskatchewan,10 or fewer dwelling units,Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sour,25.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training",Inadequate Supervision,Operation,Public,Yes,No,No,No,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,,Level I,"Station/Facility, Pigging, Launching, Fitting",,,0.0,2010.0,2010.0,Replacement,No,,,No,No,,Replacement,No,MACKLIN,17.5512067061577,4044850,18,,11,,25,,0,,0,,0,,0,,,,,,0,,0,,,,,
INC2010-060,2010-06-22 12:27,2010-06-22,22.0,6.0,2010.0,Tuesday,3.0,26.0,0.0,50.28617,-102.95153,Grenfell,Saskatchewan,10 or fewer dwelling units,"Fire, Release of Substance",TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,100.0,"Substandard Conditions, Fire and explosion hazards",External Interference,"Personal factors, Lack of knowledge, Lack of experience",Human Factors,Construction,Employee / Contractor (Onsite),No,No,No,No,TCPL - Station 21 (Grenfell Compressor Station),,,,Level I,,,,,,,,No,,,No,No,,,No,INDIAN HEAD CDA,31.61324891174021,4013480,16.9,,12.3,,21.5,,10.3,,,M,,M,,,30,,46,,0,,1.1,,64,,97,
INC2010-062,2010-06-24 7:30,2010-06-24,24.0,6.0,2010.0,Thursday,5.0,26.0,0.0,54.1326,-115.2362,Whitecourt,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Greencourt West Meter Station,,,,Level I,"Processing Plant, Cooling",,,,,,,No,,,No,No,,,No,WHITECOURT,16.297035781238243,3067371,16.1,,9.1,,23.1,,11,,,M,,M,,,28,,44,,0,,1.9,,40,,100,
INC2010-066,2010-07-06 2:20,2010-07-06,6.0,7.0,2010.0,Tuesday,3.0,28.0,0.0,53.16727,-112.15003,Vegreville,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,0.5,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,,,,,,,,No,,,No,No,,,No,HOLDEN AGDM,6.317099617987918,3013340,15.5,,8.7,,22.2,,0,,,M,,M,,,30,,41,,0,,2.5,,43,,91,
INC2010-074,2010-07-10 10:00,2010-07-10,10.0,7.0,2010.0,Saturday,7.0,28.0,1.0,48.94621,-80.99467,Cochrane,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,3300.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Landowner,Yes,No,No,No,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Mainline Valve + Offset (km),Level I,"Pipeline, Valve, Ball, Seal/Packing",,,,,,,No,,,No,No,,,No,TIMMINS VICTOR POWER A,69.37242553040423,6078285,18.9,,10.7,,27.1,,,,,,,,0,,0,,0,,0.9,,0,,,M,,M
INC2010-073,2010-07-14 2:20,2010-07-14,14.0,7.0,2010.0,Wednesday,4.0,29.0,0.0,45.625209,-73.543389,Montreal,Quebec,Unknown Population Density (Historical Data Migration),Release of Substance,Trans-Northern Pipelines Inc.,Yes,Liquid,Jet Fuel,,"Substandard Acts, Failure to follow procedure or policy or practice;Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Holidays","Corrosion and Cracking, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,MONTREAL FEEDER,273.1,1.072838,Mile Post 2.12,Level III,"Pipeline, Pipe, Body",NPS 10,,,,,Replacement,No,,,No,No,,,No,ST JACQUES,16.288732991083297,7017380,,M,,M,,M,,M,,M,0,,,M,,,,,,M,,M,,,,
INC2010-079,2010-07-24 9:30,2010-07-24,24.0,7.0,2010.0,Saturday,7.0,30.0,1.0,43.87391,-79.57983,Maple Creek,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,100.0,"Damage or deterioration mechanism, Construction, Defective Other Joint;Substandard Acts, Failure to identify hazard or risk;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 130 (Maple Compressor Station),,,,Level I,,,,,,,,No,,,No,No,,,No,EGBERT CS,30.850002120305007,611E001,22.4,,18.4,,26.3,,3.7,,,M,,M,,,0,,0,,4.4,,0,,68,,95,
INC2010-084,2010-07-31 10:30,2010-07-31,31.0,7.0,2010.0,Saturday,7.0,31.0,1.0,45.26269,-65.98211,Saint John,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Emera Brunswick Pipeline Company Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Other Joint;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure","Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,Yes,Emera - Red Head Metre Station,,,,Level I,,,,,,,,No,,,No,No,,,No,GAGETOWN 2,24.541682347456998,8101800,17,,11.5,,22.5,,0.6,,0.6,,0,,0,,,,,,0,,1,,,,,
INC2010-089,2010-08-16 11:41,2010-08-16,16.0,8.0,2010.0,Monday,2.0,34.0,0.0,54.83026,-118.64722,Grande Prairie,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Gold Creek Compressor Station,,,,Level I,"Station/Facility, Compression, Fitting",,,,,,,No,,,No,No,,,No,GRANDE PRAIRIE A,31.451194818264625,3072920,17.8,,12.5,,23.1,,6.5,,6.5,,0,,,,0,,0,,0,,0.2,,54,,99,
INC2010-090,2010-08-17 12:00,2010-08-17,17.0,8.0,2010.0,Tuesday,3.0,34.0,0.0,51.32247,-113.38195,Beiseker,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body;Substandard Conditions, Defective tools, equipment or materials","Defect and Deterioration, External Interference","Job or system factors, Inadequate purchasing, Inadequate receiving inspection and acceptance ;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Inadequate Procurement, Maintenance",Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Atusis Creek Meter Station,,,,Level I,,,,,,,,No,,,No,No,,,No,LINDEN AGCM,5.4224584262343924,3023850,13.4,,11.1,,15.7,,5,,,M,,M,,,,M,,M,0,,4.6,,75,,94,
INC2010-091,2010-08-23 9:15,2010-08-23,23.0,8.0,2010.0,Monday,2.0,35.0,0.0,45.140221,-74.562991,Williamstown,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,Trans-Northern Pipelines Inc.,Yes,Liquid,Gasoline,25.1,"Damage or deterioration mechanism, Other Causes, Improper Operation",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),Yes,No,No,Yes,Mainline,273.1,635.0188165,,Level III,"Pipeline, Valve, Pressure relief, Diaphragm;Pipeline, Valve, Pressure relief, Thread",NPS 16,Carbon Steel,,,,,No,8/17/2010,Visual,Yes,Yes,,,No,MOOSE CREEK WELLS,1.4537197397141568,6105397,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2010-092,2010-08-24 2:27,2010-08-24,24.0,8.0,2010.0,Tuesday,3.0,35.0,0.0,44.00638,-78.19719,Cobourg,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Pipeline, Valve, Ball, Body",,Carbon Steel,0.0,,1960.0,Replacement,No,,,No,No,10/31/2010,Replacement,No,TAPLEY,13.417452182101782,6168525,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,
INC2010-097,2010-09-02 3:00,2010-09-02,2.0,9.0,2010.0,Thursday,5.0,36.0,0.0,54.31015,-115.68078,Whitecourt,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,Alliance Pipeline Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Other Joint;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure","Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Alliance - Carson Creek Compressor Station,,,,Level I,,,,,,,,No,,,No,No,,,No,IMPERIAL LO,22.440916594484246,3063433,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2010-096,2010-09-06 12:20,2010-09-06,6.0,9.0,2010.0,Monday,2.0,37.0,0.0,51.50897,-113.86985,Carstairs,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,3.0,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Lone Pine South Meter Station,,,,Level I,"Station/Facility, Metering, Delivering, Valve",,,,,,,No,,,No,No,,,No,OLDS,13.90061586677982,3024920,8.7,,2.6,,14.8,,0,,0,,0,,0,,,,,,0,,9.3,,,,,
INC2010-098,2010-09-10 12:00,2010-09-10,10.0,9.0,2010.0,Friday,6.0,37.0,0.0,57.18167,-118.19522,Grande Prairie,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Pipeline, Flange, Bolt;Pipeline, Valve, Plug, Seal/Packing;Pipeline, Valve, Plug, Flange, Bolt",,,,,,Rebuilt,No,,,No,No,11/17/2010,Repair,No,CHINCHAGA LO,12.43917822780853,3071550,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2010-101,2010-09-19 11:30,2010-09-19,19.0,9.0,2010.0,Sunday,1.0,39.0,1.0,49.42185,-101.87015,Alida,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Gas,Natural Gas - Sweet,,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Congestion or restricted action;Substandard Conditions, Inadequate instructions or procedures;Substandard Conditions, Inadequate information or data;Substandard Conditions, Inadequate preparation or planning;Substandard Conditions, Inadequate support or assistance","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate communications, Inadequate communication between different organizations","Engineering and Planning, Failure in communication, Inadequate Supervision",Construction,Employee / Contractor (Onsite),No,No,No,No,Alida Terminal,,,,Level I,,,,,,,,No,,,No,No,,,No,OXBOW,29.599132052365682,4015800,9.5,,5.5,,13.5,,0,,0,,0,,0,,,,,,0,,8.5,,,,,
INC2010-103,2010-09-22 11:15,2010-09-22,22.0,9.0,2010.0,Wednesday,4.0,39.0,0.0,45.129046,-66.831379,Saint George,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,14.2,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Mainline,"762.00000000, 863.60000000",574.8807991,,Level I,"Station/Facility, Metering, Delivering, Fitting",,,,,,,No,,,No,No,,,No,ST. STEPHEN,25.15512019674024,8104935,18.9,,13.7,,24,,0,,,M,,M,,,24,,33,,0.9,,0,,59,,91,
INC2010-104,2010-09-22 12:00,2010-09-22,22.0,9.0,2010.0,Wednesday,4.0,39.0,0.0,50.04984,-112.53824,Enchant,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Circumferential Weld",Defect and Deterioration,"Personal factors, Lack of skill, Infrequent performance;External Interference, Natural or Environmental Forces","Human Factors, Natural or Environmental Forces",Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Legal Subdivision 2-4-13-19W4,Level I,,,,,,,,No,,,No,No,,,No,TRAVERS AGCM,14.720802827097842,3036500,7.5,,2.5,,12.5,,0,,,M,,M,,,,M,,M,0,,10.5,,53,,97,
INC2010-105,2010-09-28 3:20,2010-09-28,28.0,9.0,2010.0,Tuesday,3.0,40.0,0.0,55.77705,-119.36823,Spirit River,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Kilometer Post,Level I,"Pipeline, Pipe, Body",,,,,,Replacement,No,,,No,No,10/7/2010,Replacement,No,SAVANNA AGCM,31.381523665727535,3075770,13.9,,9.9,,17.9,,0.4,,,M,,M,,,26,,74,,0,,4.1,,32,,60,
